"rule","engine","severity","tags","file","startLine","startColumn","endLine","endColumn","message","resources"
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DocGenDataRetriever.cls",641,1,641,17,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DocGenDataRetriever.cls",754,1,754,17,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DocGenHtmlRenderer.cls",429,1,429,17,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DocGenHtmlRenderer.cls",434,1,434,17,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DocGenHtmlRenderer.cls",435,90,435,91,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DocGenHtmlRenderer.cls",436,99,436,100,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DocGenHtmlRenderer.cls",437,93,437,94,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DocGenHtmlRenderer.cls",1074,1,1074,9,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DocGenHtmlRenderer.cls",1079,1,1079,9,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DocGenHtmlRenderer.cls",1086,1,1086,9,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DocGenService.cls",1058,1,1058,9,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DocGenService.cls",1063,23,1063,24,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DocGenService.cls",1067,1,1067,13,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DocGenService.cls",1073,1,1073,13,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DocGenService.cls",1081,1,1081,13,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DocGenService.cls",1093,1,1093,21,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DocGenService.cls",1118,1,1118,30,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DocGenService.cls",1121,1,1121,30,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DocGenService.cls",1124,1,1124,30,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DocGenService.cls",1178,1,1178,17,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DocGenService.cls",1286,1,1286,5,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DocGenService.cls",1313,1,1313,5,"Found trailing whitespace at the end of a line of code.",
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app/main/default/classes/DocGenService.cls",1362,1,1362,5,"Found trailing whitespace at the end of a line of code.",
"@salesforce-ux/slds/no-slds-namespace-for-custom-hooks","eslint",4,"Recommended,SLDS,BestPractices,CSS","force-app/main/default/lwc/docGenAdmin/docGenAdmin.css",3,12,3,51,"Using the --slds namespace for --slds-g-color-neutral-10 isn't supported. Create the custom styling hook in your namespace. Example: --myapp-g-color-neutral-10","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-slds-namespace-for-custom-hooks"
"@salesforce-ux/slds/no-slds-namespace-for-custom-hooks","eslint",4,"Recommended,SLDS,BestPractices,CSS","force-app/main/default/lwc/docGenAdmin/docGenAdmin.css",8,17,8,60,"Using the --slds namespace for --slds-g-color-neutral-base-2 isn't supported. Create the custom styling hook in your namespace. Example: --myapp-g-color-neutral-base-2","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-slds-namespace-for-custom-hooks"
"@salesforce-ux/slds/no-slds-namespace-for-custom-hooks","eslint",4,"Recommended,SLDS,BestPractices,CSS","force-app/main/default/lwc/docGenAdmin/docGenAdmin.css",16,17,16,60,"Using the --slds namespace for --slds-g-color-neutral-base-1 isn't supported. Create the custom styling hook in your namespace. Example: --myapp-g-color-neutral-base-1","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-slds-namespace-for-custom-hooks"
"@salesforce-ux/slds/no-hardcoded-values-slds2","eslint",4,"Recommended,SLDS,Design,CSS","force-app/main/default/lwc/docGenAdmin/docGenAdmin.css",20,17,20,22,"There's no replacement styling hook for the 300px static value. Remove the static value.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-hardcoded-values-slds2"
